No,Category,Question,Acceptable Answers,,
1,Core Java,How to make a class immutable in java?,"Make sure the candiate says atleast 3-4 point below in any order:

Declare the class as final (so it can’t be extended.)
Make all fields private (so that direct access is not allowed.)
Don’t provide setter methods for variables.
Make all fields final (so that its value can be assigned only once).
Initialize all the fields via class constructor. Perform object cloning in the getter method to return a copy rather than returning the actual object reference",,
,Core Java,Is java “pass-by-value” or “pass-by-reference”,"Java is always pass by value, this means that it creates a copy of the contents of the parameters in memory. Object variables always refer to the memory heap’s real object.",,
2,Core Java,"What is difference between final, finally and finalize in Java?","Final:
final variables cannot be reassigned.
Final methods cannot be overridden.
Final classes cannot be extended.

Finally:
Used in exception handling.
Used with try-catch block.
Statements in finally always execute with or without an exception.

Finalize:
Finalize method is executed by Garbage Collector before the object is destroyed.",,
,,What is Garbage collection,"- used to free of memory, by disposing objects which do not have references or not used - invoked using System.gc",,
3,Core Java,"If two objects are equal according to equals() method,  will the hashcodes be same?",Yes. (It is guarantted to be same),,
4,Core Java,"If two objects has the same hashcode,  Should they be equal?",No (It is not guarantted to be same).  ,,
,String,Why is string used as key in hashmap?,"- Because string is immutable, its hashcode is cached at the time of creation and does not need to be calculated again - And its processing is faster than other hashmap key objects",,
,,How to prevent collision in hashMap,- Write a good hashing function to prevent collision,,
,,What if I have a customized object in my HashMap what do I need to do?,"- override the Hashcode and equals() - A simple rule is to use immutable objects as keys - If it were mutable, then the hashcode() value or equals() condition might change, and you would    never be able to retrieve the key from your HahMap",,
,,What is the difference between hashTable and HashMap,"HashMap - The method is not Synchronized - Not thread Safe - No waiting of thread so performance is high - Null is allowed for Both key and value HashTable - The method is Synchronized - Thread safe - Because there is waiting of thread, performance is low - Does not allow null key and values",,
